醫事機構代碼,診療科別
0101090517,01
0101090517,02
0101090517,03
0101090517,04
0101090517,05
0101090517,06
0101090517,07
0101090517,08
0101090517,09
0101090517,10
0101090517,11
0101090517,12
0101090517,13
0101090517,14
0101090517,15
0101090517,16
0101090517,22
0101090517,40
0101090517,47
0101090517,60
0101090517,81
0101090517,84
0101090517,85
0101090517,86
0101090517,87
0101090517,88
0102020011,01
0102020011,02
0102020011,03
0102020011,04
0102020011,05
0102020011,06
0102020011,07
0102020011,08
0102020011,09
0102020011,10
0102020011,12
0102020011,13
0102020011,14
0102020011,15
0102020011,22
0102020011,40
0102020011,81
0102020011,84
0102020011,85
0102020011,86
0102020011,87
0102070020,01
0102070020,02
0102070020,03
0102070020,04
0102070020,05
0102070020,06
0102070020,07
0102070020,08
0102070020,09
0102070020,10
0102070020,11
0102070020,12
0102070020,13
0102070020,14
0102070020,15
0102070020,16
0102070020,22
0102070020,40
0102070020,81
0102070020,82
0102070020,83
0102070020,85
0102080017,01
0102080017,02
0102080017,03
0102080017,04
0102080017,05
0102080017,06
0102080017,08
0102080017,09
0102080017,10
0102080017,11
0102080017,12
0102080017,14
0102080017,22
0102080017,40
0102080017,60
0102080017,81
0102080017,82
0102080017,83
0102080026,12
0102080026,13
0111070010,01
0111070010,02
0111070010,03
0111070010,04
0111070010,05
0111070010,06
0111070010,07
0111070010,08
0111070010,09
0111070010,10
0111070010,11
0111070010,12
0111070010,13
0111070010,14
0111070010,22
0111070010,40
0111070010,60
0111070010,81
0111070010,82
0111070010,83
0117030010,00
0117030010,01
0117030010,02
0117030010,03
0117030010,04
0117030010,05
0117030010,06
0117030010,07
0117030010,08
0117030010,09
0117030010,10
0117030010,11
0117030010,12
0117030010,13
0117030010,14
0117030010,15
0117030010,22
0117030010,40
0117030010,60
0117030010,81
0117030010,84
0117030010,85
0117030010,86
0117030010,87
0121050011,01
0121050011,02
0121050011,03
0121050011,04
0121050011,05
0121050011,06
0121050011,08
0121050011,09
0121050011,10
0121050011,11
0121050011,12
0121050011,13
0121050011,14
0121050011,15
0121050011,16
0121050011,22
0121050011,40
0121050011,60
0121050011,81
0121050011,82
0121050011,83
0122020517,01
0122020517,02
0122020517,03
0122020517,04
0122020517,05
0122020517,06
0122020517,08
0122020517,10
0122020517,12
0122020517,13
0122020517,14
0122020517,22
0122020517,40
0122020517,60
0122020517,81
0122020517,82
0122020517,87
0131020016,01
0131020016,02
0131020016,03
0131020016,04
0131020016,05
0131020016,06
0131020016,07
0131020016,08
0131020016,09
0131020016,10
0131020016,11
0131020016,12
0131020016,13
0131020016,14
0131020016,22
0131020016,40
0131020016,60
0131020016,81
0131020016,82
0131020016,83
0131020016,84
0131060010,01
0131060010,02
0131060010,03
0131060010,04
0131060010,05
0131060010,06
0131060010,08
0131060010,09
0131060010,10
0131060010,13
0131060010,14
0131060010,22
0131060010,40
0131060010,60
0131060010,81
0131060010,82
0131060029,00
0131060029,01
0131060029,02
0131060029,03
0131060029,04
0131060029,05
0131060029,06
0131060029,07
0131060029,08
0131060029,09
0131060029,10
0131060029,11
0131060029,12
0131060029,13
0131060029,14
0131060029,15
0131060029,22
0131060029,40
0131060029,60
0131060029,81
0131060029,86
0131060029,87
0131230012,13
0132010014,00
0132010014,01
0132010014,02
0132010014,03
0132010014,04
0132010014,05
0132010014,06
0132010014,07
0132010014,08
0132010014,09
0132010014,10
0132010014,11
0132010014,12
0132010014,13
0132010014,14
0132010014,15
0132010014,16
0132010014,22
0132010014,40
0132010014,60
0132010014,81
0132010014,84
0132010014,85
0132010014,86
0132010014,87
0132010014,88
0132010023,12
0132010023,13
0132110519,02
0132110519,03
0132110519,05
0132110519,06
0132110519,08
0132110519,13
0132110519,14
0132110519,60
0132110519,81
0132110519,86
0135010016,01
0135010016,02
0135010016,03
0135010016,04
0135010016,05
0135010016,06
0135010016,08
0135010016,09
0135010016,10
0135010016,12
0135010016,13
0135010016,14
0135010016,15
0135010016,16
0135010016,22
0135010016,40
0135010016,60
0135010016,81
0135010016,86
0135010016,87
0136010010,00
0136010010,01
0136010010,02
0136010010,03
0136010010,04
0136010010,05
0136010010,06
0136010010,07
0136010010,08
0136010010,09
0136010010,10
0136010010,11
0136010010,12
0136010010,13
0136010010,14
0136010010,22
0136010010,40
0136010010,60
0136010010,81
0136010010,82
0136010010,83
0137170515,01
0137170515,02
0137170515,03
0137170515,04
0137170515,05
0137170515,06
0137170515,07
0137170515,08
0137170515,09
0137170515,10
0137170515,11
0137170515,12
0137170515,13
0137170515,14
0137170515,22
0137170515,40
0137170515,60
0137170515,81
0137170515,82
0138010027,01
0138010027,02
0138010027,03
0138010027,04
0138010027,05
0138010027,06
0138010027,08
0138010027,10
0138010027,11
0138010027,12
0138010027,13
0138010027,14
0138010027,22
0138010027,40
0138010027,60
0138010027,81
0138010027,82
0138010027,83
0138030010,13
0140010028,02
0140010028,03
0140010028,04
0140010028,05
0140010028,06
0140010028,10
0140010028,11
0140010028,13
0140010028,14
0140010028,60
0140010028,81
0140010028,82
0141010013,01
0141010013,02
0141010013,03
0141010013,05
0141010013,06
0141010013,08
0141010013,10
0141010013,12
0141010013,13
0141010013,14
0141010013,22
0141010013,40
0141010013,60
0141010013,81
0141010013,86
0141060513,01
0141060513,02
0141060513,03
0141060513,05
0141060513,06
0141060513,14
0141060513,60
0141060513,81
0141060513,82
0141270019,01
0141270019,02
0141270019,12
0141270019,16
0141270028,01
0141270028,12
0141270028,13
0141270028,60
0142030019,01
0142030019,02
0142030019,03
0142030019,04
0142030019,05
0142030019,06
0142030019,07
0142030019,08
0142030019,09
0142030019,10
0142030019,11
0142030019,12
0142030019,13
0142030019,14
0142030019,22
0142030019,40
0142030019,60
0142030019,81
0142030019,82
0143010011,01
0143010011,02
0143010011,03
0143010011,04
0143010011,05
0143010011,06
0143010011,07
0143010011,08
0143010011,09
0143010011,10
0143010011,13
0143010011,14
0143010011,15
0143010011,22
0143010011,40
0143010011,60
0143010011,81
0143010011,86
0143010011,87
0143040019,01
0143040019,02
0143040019,03
0143040019,06
0143040019,12
0143040019,13
0143040019,14
0143040019,86
0144010015,01
0144010015,02
0144010015,03
0144010015,05
0144010015,06
0144010015,07
0144010015,08
0144010015,09
0144010015,10
0144010015,11
0144010015,13
0144010015,14
0144010015,22
0144010015,40
0144010015,81
0144010015,82
0145010019,01
0145010019,02
0145010019,03
0145010019,04
0145010019,05
0145010019,06
0145010019,08
0145010019,09
0145010019,10
0145010019,11
0145010019,13
0145010019,14
0145010019,22
0145010019,40
0145010019,60
0145010019,81
0145010019,82
0145010019,83
0145030020,01
0145030020,02
0145030020,12
0145030020,13
0145030020,40
0145080011,00
0145080011,03
0145080011,22
0146010013,01
0146010013,02
0146010013,03
0146010013,05
0146010013,06
0146010013,07
0146010013,08
0146010013,10
0146010013,11
0146010013,13
0146010013,14
0146010013,16
0146010013,22
0146010013,40
0146010013,60
0146010013,81
0146010013,86
0146020537,01
0146020537,02
0146020537,14
0146020537,40
0190030516,01
0190030516,02
0190030516,03
0190030516,04
0190030516,05
0190030516,06
0190030516,07
0190030516,08
0190030516,09
0190030516,10
0190030516,11
0190030516,12
0190030516,13
0190030516,14
0190030516,22
0190030516,40
0190030516,81
0190030516,86
0211070012,01
0211070012,02
0211070012,03
0211070012,06
0211070012,09
0211070012,10
0211070012,15
0211070012,40
0221010019,01
0221010019,02
0221010019,03
0221010019,04
0221010019,05
0221010019,06
0221010019,07
0221010019,08
0221010019,09
0221010019,10
0221010019,11
0221010019,12
0221010019,13
0221010019,14
0221010019,16
0221010019,22
0221010019,40
0221010019,60
0221010019,81
0221010019,82
0221010019,83
0291010010,01
0291010010,02
0291010010,03
0291010010,04
0291010010,05
0291010010,10
0291010010,13
0291010010,22
0291010010,40
0401180014,00
0401180014,01
0401180014,02
0401180014,03
0401180014,04
0401180014,05
0401180014,06
0401180014,07
0401180014,08
0401180014,09
0401180014,10
0401180014,11
0401180014,12
0401180014,13
0401180014,14
0401180014,15
0401180014,16
0401180014,22
0401180014,40
0401180014,45
0401180014,47
0401180014,49
0401180014,81
0401180014,84
0401180014,85
0401180014,86
0401180014,87
0401180014,88
0401180023,03
0401180023,04
0401180023,13
0401180023,14
0401180023,40
0401180023,81
0401180023,86
0401190010,01
0401190010,02
0401190010,04
0401190010,05
0401190010,09
0401190010,10
0401190010,14
0401190010,40
0401190010,81
0412040012,01
0412040012,02
0412040012,03
0412040012,04
0412040012,05
0412040012,06
0412040012,07
0412040012,08
0412040012,09
0412040012,10
0412040012,11
0412040012,12
0412040012,13
0412040012,14
0412040012,15
0412040012,22
0412040012,40
0412040012,45
0412040012,60
0412040012,81
0412040012,82
0412040012,83
0412040012,84
0412040012,85
0421040011,00
0421040011,01
0421040011,02
0421040011,03
0421040011,04
0421040011,05
0421040011,06
0421040011,07
0421040011,08
0421040011,09
0421040011,10
0421040011,11
0421040011,12
0421040011,13
0421040011,14
0421040011,15
0421040011,16
0421040011,22
0421040011,40
0421040011,81
0421040011,82
0421040011,83
0421040011,84
0431270012,00
0431270012,01
0431270012,02
0431270012,03
0431270012,06
0431270012,07
0431270012,14
0431270012,22
0431270012,40
0431270012,47
0431270012,81
0431270012,82
0433030016,01
0433030016,02
0433030016,03
0433030016,04
0433030016,05
0433030016,06
0433030016,08
0433030016,13
0433030016,14
0433030016,40
0433030016,81
0433030016,82
0434010518,01
0434010518,02
0434010518,03
0434010518,04
0434010518,05
0434010518,06
0434010518,07
0434010518,08
0434010518,09
0434010518,10
0434010518,12
0434010518,13
0434010518,14
0434010518,15
0434010518,16
0434010518,22
0434010518,40
0434010518,45
0434010518,47
0434010518,60
0434010518,81
0434010518,84
0434010518,85
0434010518,86
0434010518,87
0439010518,01
0439010518,02
0439010518,03
0439010518,04
0439010518,05
0439010518,06
0439010518,07
0439010518,08
0439010518,09
0439010518,10
0439010518,11
0439010518,12
0439010518,13
0439010518,14
0439010518,15
0439010518,16
0439010518,22
0439010518,40
0439010518,81
0439010518,82
0439010518,83
0439010518,84
0439010527,01
0439010527,02
0439010527,03
0439010527,04
0439010527,05
0439010527,06
0439010527,07
0439010527,08
0439010527,12
0439010527,13
0439010527,14
0439010527,15
0439010527,22
0439010527,40
0439010527,47
0439010527,81
0439010527,82
0439010527,83
0501010019,01
0501010019,02
0501010019,03
0501010019,04
0501010019,05
0501010019,06
0501010019,07
0501010019,08
0501010019,09
0501010019,10
0501010019,11
0501010019,12
0501010019,13
0501010019,14
0501010019,15
0501010019,22
0501010019,40
0501010019,81
0501010019,82
0501010019,83
0501010019,87
0501110514,00
0501110514,01
0501110514,02
0501110514,03
0501110514,04
0501110514,05
0501110514,06
0501110514,07
0501110514,08
0501110514,09
0501110514,10
0501110514,11
0501110514,12
0501110514,13
0501110514,14
0501110514,15
0501110514,16
0501110514,22
0501110514,40
0501110514,45
0501110514,47
0501110514,49
0501110514,60
0501110514,81
0501110514,82
0501110514,83
0501110514,84
0501110514,85
0501110514,86
0501110514,87
0501110514,88
0501160014,00
0501160014,01
0501160014,02
0501160014,06
0501160014,12
0501160014,13
0501160014,40
0502030015,01
0502030015,02
0502030015,03
0502030015,04
0502030015,05
0502030015,06
0502030015,07
0502030015,08
0502030015,09
0502030015,10
0502030015,11
0502030015,12
0502030015,13
0502030015,14
0502030015,15
0502030015,22
0502030015,40
0502030015,81
0502030015,84
0502030015,85
0502030015,86
0502030015,87
0502080015,01
0502080015,02
0502080015,03
0502080015,04
0502080015,05
0502080015,06
0502080015,07
0502080015,08
0502080015,09
0502080015,10
0502080015,11
0502080015,12
0502080015,13
0502080015,14
0502080015,15
0502080015,22
0502080015,40
0502080015,81
0502080015,86
0502080015,87
0511040010,02
0511040010,03
0511040010,04
0511040010,05
0511040010,06
0511040010,08
0511040010,09
0511040010,10
0511040010,12
0511040010,13
0511040010,14
0511040010,40
0511040010,81
0511040010,82
0512040014,01
0512040014,02
0512040014,03
0512040014,04
0512040014,05
0512040014,06
0512040014,07
0512040014,08
